ID	FEMALE	SES	SCHTYP	PROG	READ	WRITE	MATH	SCIENCE	SOCST	HONORS	AWARDS	CID
45	1	1	1	3	34	35	41	29	26	0	0	1
108	0	2	1	1	34	33	41	36	36	0	0	1
15	0	3	1	3	39	39	44	26	42	0	0	1
67	0	1	1	3	37	37	42	33	32	0	0	1
153	0	2	1	3	39	31	40	39	51	0	0	1
51	1	3	1	1	42	36	42	31	39	0	0	1
164	0	2	1	3	31	36	46	39	46	0	0	1
133	0	2	1	3	50	31	40	34	31	0	0	1
2	1	2	1	3	39	41	33	42	41	0	0	1
53	0	2	1	3	34	37	46	39	31	0	0	1
1	1	1	1	3	34	44	40	39	41	0	0	1
128	0	3	1	2	39	33	38	47	41	0	0	2
16	0	1	1	3	47	31	44	36	36	0	0	2
106	1	2	1	3	36	44	37	42	41	0	0	2
89	1	1	1	3	35	35	40	51	33	0	0	2
134	0	1	1	1	44	44	39	34	46	0	0	2
19	1	1	1	1	28	46	43	44	51	0	0	2
145	1	2	1	3	42	46	38	36	46	0	0	2
11	0	2	1	2	34	46	45	39	36	0	0	2
117	0	3	1	3	34	49	39	42	56	0	0	2
109	1	2	1	1	42	39	42	42	41	0	0	2
12	0	2	1	3	37	44	45	39	46	0	0	3
37	1	1	1	3	41	47	40	39	51	0	0	3
69	1	1	1	3	44	44	40	40	31	0	0	3
43	1	1	1	2	47	37	43	42	46	0	0	3
196	0	3	2	2	44	38	49	39	46	0	0	3
36	1	1	1	1	44	49	44	35	51	0	0	3
155	0	2	1	1	44	44	46	39	51	0	0	3
6	1	1	1	2	47	41	46	40	41	0	0	3
4	1	1	1	2	44	50	41	39	51	0	1	3
25	1	2	1	1	47	44	42	42	36	0	0	4
107	0	1	1	3	47	39	47	42	26	0	0	4
5	0	1	1	2	47	40	43	45	31	0	0	4
47	1	1	1	2	47	46	49	33	41	0	0	4
140	0	2	1	3	44	41	40	50	26	0	0	4
22	0	2	1	3	42	39	39	56	46	0	0	4
18	0	2	1	3	50	33	49	44	36	0	0	4
30	1	3	1	2	41	59	42	34	51	0	2	4
40	0	1	1	1	42	41	43	50	41	0	0	4
176	0	2	2	2	47	47	41	42	51	0	0	4
126	0	2	1	1	42	31	57	47	51	0	0	4
197	0	3	2	2	50	42	50	36	61	0	0	5
46	1	1	1	2	45	55	44	34	41	0	2	5
49	0	3	1	3	50	40	39	49	47	0	0	5
8	1	1	1	2	39	44	52	44	48	0	0	5
124	1	1	1	3	42	54	41	42	41	0	1	5
13	1	2	1	3	47	46	39	47	61	0	0	5
111	1	1	1	1	39	54	39	47	36	0	1	5
142	1	2	1	3	47	42	52	39	51	0	0	5
193	1	2	2	2	44	49	48	39	51	0	0	5
105	1	2	1	2	50	41	45	44	56	0	0	5
58	0	2	1	3	55	41	40	44	41	0	0	5
129	1	1	1	1	44	44	46	47	51	0	0	6
38	0	1	1	2	45	57	50	31	56	0	2	6
182	1	2	2	2	44	52	43	44	51	0	1	6
115	0	1	1	1	42	49	43	50	56	0	0	6
14	0	3	1	2	47	41	54	42	56	0	0	6
175	1	3	2	1	36	57	42	50	41	0	2	6
44	1	1	1	3	47	62	45	34	46	1	3	6
86	0	3	1	1	44	33	54	58	31	0	0	6
72	1	2	1	3	42	54	47	47	46	0	1	6
41	0	2	1	2	50	40	45	55	56	0	0	7
191	1	3	2	2	47	52	43	48	61	0	1	7
138	1	2	1	3	43	57	40	50	51	0	2	7
9	0	2	1	3	48	49	52	44	51	0	0	7
151	1	2	1	3	47	46	52	48	46	0	0	7
119	1	1	1	1	42	57	45	50	43	0	2	7
55	1	2	2	2	52	49	49	44	61	0	0	7
73	1	2	1	2	50	52	53	39	56	0	1	7
28	1	2	1	1	39	53	54	50	41	0	1	7
90	1	3	1	2	42	54	50	50	52	0	1	8
17	1	2	1	2	47	57	48	44	41	0	2	8
102	0	3	1	2	52	41	51	53	56	0	0	8
70	0	1	1	1	57	52	41	47	57	0	1	8
148	1	2	1	3	42	57	51	47	61	0	2	8
54	1	1	2	1	47	54	46	50	56	0	1	8
42	1	2	1	3	46	52	55	44	56	0	1	8
87	1	2	1	1	50	52	46	50	56	0	1	8
21	0	2	1	1	44	44	61	50	46	0	0	8
181	0	2	2	2	50	46	45	58	61	0	0	8
165	0	1	1	3	36	49	54	61	36	0	0	8
78	1	2	1	2	39	54	54	53	41	0	1	9
76	0	3	1	2	47	52	51	50	56	0	1	9
29	0	1	1	1	52	44	49	55	41	0	0	9
91	1	3	1	3	50	49	56	47	46	0	0	9
52	1	1	1	2	50	46	53	53	66	0	0	9
10	1	2	1	1	47	54	49	53	61	0	1	9
85	0	2	1	1	55	39	57	53	46	0	0	9
50	0	2	1	1	50	59	42	53	61	0	2	9
56	0	2	1	3	55	45	46	58	51	0	0	9
64	1	3	1	3	50	52	45	58	36	0	1	10
130	1	3	1	1	43	54	55	55	46	0	1	10
141	0	3	1	3	63	44	47	53	56	0	0	10
74	1	2	1	2	57	50	50	51	58	0	1	10
83	1	2	1	3	50	62	41	55	31	1	3	10
31	1	2	2	1	55	59	52	42	56	0	2	10
172	0	2	1	2	47	52	57	53	61	0	1	10
184	1	2	2	3	50	52	53	55	56	0	1	10
75	0	2	1	3	60	46	51	53	61	0	0	10
187	1	2	2	1	57	41	57	55	52	0	0	10
113	0	2	1	2	44	52	51	63	61	0	1	11
162	1	2	1	3	57	52	40	61	56	0	1	11
110	1	2	1	3	52	55	50	54	61	0	2	11
150	0	2	1	3	42	41	57	72	31	0	0	11
167	0	2	1	1	63	49	35	66	41	0	0	11
77	1	1	1	2	61	59	49	44	66	0	2	11
35	1	1	2	1	60	54	50	50	51	0	1	11
158	1	2	1	1	52	54	55	53	51	0	1	11
