X	Y
0.0132	1.0000
-0.5927	1.0000
0.1431	1.0000
-1.8534	3.0000
-2.1331	3.0000
-0.6586	2.0000
-0.9502	2.0000
-1.9514	1.0000
-1.0673	2.0000
-2.6851	3.0000
-0.3232	2.0000
-0.7439	1.0000
-0.3356	2.0000
0.1749	2.0000
-1.6616	3.0000
-1.4518	2.0000
-1.0981	2.0000
-0.3136	3.0000
0.0646	1.0000
-0.6080	2.0000
-1.0548	2.0000
0.1503	1.0000
-1.4025	2.0000
0.4285	1.0000
-2.1820	2.0000
-1.2354	2.0000
-1.4014	3.0000
-3.3091	3.0000
-1.7542	3.0000
-1.1396	2.0000
-1.4625	2.0000
-0.2337	2.0000
-1.5277	2.0000
-0.3600	1.0000
-1.4172	3.0000
-2.0995	3.0000
0.1220	1.0000
-0.6042	2.0000
-2.0141	3.0000
-0.7414	2.0000
-1.0347	2.0000
-1.3992	2.0000
-1.6092	2.0000
-0.4906	3.0000
0.0238	1.0000
-1.3505	2.0000
0.4140	1.0000
-0.6785	2.0000
0.0205	1.0000
-1.5276	2.0000
-0.4555	2.0000
-2.8048	3.0000
1.1951	1.0000
-1.2080	3.0000
-0.2854	2.0000
0.2535	2.0000
-0.2265	2.0000
-2.1193	3.0000
-1.2718	2.0000
-1.2889	3.0000
-0.6156	3.0000
-0.8448	2.0000
-0.9196	2.0000
0.9574	1.0000
0.9598	1.0000
1.2433	1.0000
0.1384	2.0000
-1.8888	3.0000
-2.7492	3.0000
-1.7607	3.0000
-0.2925	2.0000
-1.0649	2.0000
-1.0791	2.0000
-1.1640	2.0000
0.2717	1.0000
0.0258	2.0000
-1.1176	3.0000
-0.4779	2.0000
0.5545	2.0000
-1.2202	3.0000
-3.8639	3.0000
0.0665	2.0000
-4.0461	3.0000
-0.8143	2.0000
-1.0833	3.0000
-1.3118	1.0000
-1.6737	1.0000
-0.3967	1.0000
0.2769	1.0000
-0.4409	1.0000
-0.5656	2.0000
-1.1493	1.0000
-0.0080	1.0000
-0.4227	2.0000
-3.1403	2.0000
-0.6479	2.0000
-0.5142	1.0000
-1.4877	2.0000
-1.0609	2.0000
-1.6656	2.0000
-1.1422	2.0000
-1.1512	1.0000
-0.6813	2.0000
-2.1188	3.0000
-0.5167	2.0000
-0.4910	2.0000
-1.8549	2.0000
-0.9643	2.0000
-1.3563	2.0000
-0.1510	2.0000
-0.8646	3.0000
-0.2401	1.0000
-2.4784	3.0000
-0.7802	2.0000
-2.2054	3.0000
-0.7919	1.0000
-1.6790	2.0000
-0.3635	1.0000
-1.8083	2.0000
-0.9188	2.0000
-0.8531	1.0000
-1.2290	2.0000
0.6788	1.0000
0.2381	1.0000
-1.6627	1.0000
-2.9932	3.0000
-3.2385	3.0000
-1.8608	3.0000
-3.1272	3.0000
-1.2457	3.0000
-0.3492	1.0000
0.4827	1.0000
-0.4310	1.0000
-1.6723	2.0000
-2.3767	3.0000
0.2205	1.0000
-1.1715	1.0000
1.8105	1.0000
-1.0646	2.0000
-1.5715	3.0000
-1.5377	3.0000
0.4388	1.0000
-1.6900	3.0000
-0.6813	2.0000
1.3360	1.0000
-0.4010	1.0000
-0.7585	2.0000
0.1982	1.0000
-0.0891	1.0000
-1.1637	3.0000
-0.5546	2.0000
-1.2257	2.0000
-1.0788	2.0000
-1.8187	3.0000
-1.1427	1.0000
-1.2108	3.0000
-0.1911	1.0000
-1.1891	3.0000
-1.0463	2.0000
0.3824	1.0000
-0.0301	1.0000
-2.0622	3.0000
1.4016	1.0000
0.6471	1.0000
-2.0390	3.0000
-0.8017	1.0000
-0.5518	2.0000
-0.9124	3.0000
-0.6014	2.0000
-1.6758	3.0000
-0.5074	1.0000
-1.0398	2.0000
-0.2786	1.0000
-0.0511	1.0000
-0.6229	2.0000
-0.8321	2.0000
0.5416	2.0000
-0.7004	2.0000
-0.8490	1.0000
-1.0845	3.0000
0.4912	1.0000
-1.5197	1.0000
-0.6845	2.0000
0.2858	1.0000
-2.4758	2.0000
-1.9972	3.0000
-0.4806	3.0000
-0.3644	1.0000
-0.8980	1.0000
-0.4480	1.0000
-2.5423	3.0000
-1.4240	2.0000
-1.9962	3.0000
-1.7126	3.0000
-2.6749	3.0000
-0.7379	2.0000
-1.2983	2.0000
-0.3569	1.0000
-2.7266	3.0000
-1.8951	3.0000
;	run;
