X	Y
-1.8777	3.0000
-2.3014	3.0000
-1.5138	3.0000
0.2437	1.0000
1.1850	1.0000
0.0560	2.0000
-1.3915	2.0000
-1.5491	3.0000
-0.9569	2.0000
-1.4441	2.0000
0.1746	1.0000
-1.8775	2.0000
-0.3673	1.0000
-2.9955	2.0000
-1.3038	3.0000
0.6165	1.0000
-1.4673	2.0000
-1.2086	3.0000
-1.4020	3.0000
-2.3876	3.0000
-0.2811	2.0000
-1.1555	2.0000
-1.4384	2.0000
0.7786	1.0000
-2.7636	3.0000
0.0075	1.0000
0.6758	1.0000
-1.1595	3.0000
-1.8762	3.0000
0.7010	1.0000
-1.9541	2.0000
-0.7526	2.0000
-1.9767	2.0000
0.8334	1.0000
-0.8140	2.0000
-0.4121	2.0000
-1.2955	3.0000
0.7070	1.0000
-0.5587	2.0000
-0.9557	3.0000
-0.8792	3.0000
-1.5267	2.0000
-0.7320	2.0000
-1.3272	3.0000
-0.8521	2.0000
2.3344	1.0000
-1.5249	2.0000
-1.7440	2.0000
-0.0922	1.0000
-1.5062	2.0000
-1.3596	2.0000
-3.5149	3.0000
-0.3568	2.0000
-2.3198	2.0000
-0.5662	2.0000
-0.4042	2.0000
-0.2456	1.0000
-1.2361	2.0000
-1.9358	2.0000
-0.5284	2.0000
0.1363	1.0000
-2.2283	3.0000
-2.7975	2.0000
-2.1071	2.0000
-1.7407	3.0000
0.6254	1.0000
-3.8647	3.0000
-1.2278	2.0000
-1.3220	2.0000
-1.5752	2.0000
-1.7515	3.0000
-2.0043	2.0000
0.2810	1.0000
-0.5562	1.0000
-1.8183	2.0000
-1.6845	2.0000
-1.6879	2.0000
-0.2761	1.0000
-1.0714	2.0000
-0.7639	2.0000
-1.6373	2.0000
-1.9530	3.0000
0.1570	1.0000
-1.2151	3.0000
0.0227	1.0000
-0.5568	1.0000
-1.7886	2.0000
0.3099	1.0000
-0.8327	3.0000
-0.2535	1.0000
-1.8783	3.0000
-1.1402	2.0000
-0.6746	2.0000
-0.8119	2.0000
-1.0876	2.0000
-1.9366	3.0000
-0.1933	1.0000
-1.6635	3.0000
-1.6555	2.0000
-1.3669	2.0000
-0.1184	2.0000
-0.2608	2.0000
-1.5402	3.0000
-0.8460	2.0000
-1.4867	3.0000
-2.0714	3.0000
-1.3145	2.0000
-0.1154	1.0000
-0.7822	2.0000
-0.9687	3.0000
0.8041	1.0000
-2.3342	3.0000
-1.5728	3.0000
-1.8386	2.0000
-2.3948	3.0000
0.2592	1.0000
0.4305	1.0000
-1.4278	3.0000
-2.8108	2.0000
0.4455	1.0000
-1.7847	2.0000
0.0887	1.0000
0.1283	1.0000
-1.0058	3.0000
-2.8086	2.0000
-0.9279	2.0000
-0.4782	2.0000
0.8384	1.0000
-1.2758	2.0000
-1.0566	2.0000
-0.1476	1.0000
-0.9904	3.0000
-0.3167	1.0000
0.5293	1.0000
-0.9260	1.0000
0.1464	1.0000
-0.6608	1.0000
-1.1677	3.0000
-0.4515	3.0000
-1.4894	2.0000
-0.0641	1.0000
-1.1484	2.0000
-0.4955	1.0000
-3.0948	3.0000
-0.1564	1.0000
-1.9835	2.0000
-1.9216	2.0000
-0.7155	2.0000
0.2522	2.0000
0.1653	1.0000
-1.0516	2.0000
0.2075	1.0000
1.2370	1.0000
-1.6921	1.0000
-1.1956	2.0000
-2.1508	2.0000
-1.4933	3.0000
-1.8546	3.0000
-2.0068	2.0000
0.5975	1.0000
0.0554	1.0000
-1.9992	2.0000
-1.0802	2.0000
0.4262	1.0000
-0.6650	2.0000
0.3569	1.0000
-2.6179	2.0000
-0.6067	2.0000
-0.4168	2.0000
-1.7665	3.0000
0.5809	1.0000
-0.5063	3.0000
-3.2015	2.0000
-2.4106	2.0000
0.2363	1.0000
-0.9680	2.0000
0.2121	1.0000
-1.1014	2.0000
-0.5511	2.0000
-2.3954	3.0000
-1.5463	3.0000
-1.3323	2.0000
0.1337	1.0000
-1.4644	2.0000
-0.8831	2.0000
-0.9862	3.0000
-1.6493	2.0000
0.1497	1.0000
0.4073	1.0000
-0.7042	3.0000
-0.4239	2.0000
-0.2778	1.0000
-2.2721	3.0000
0.2510	1.0000
-2.9835	3.0000
-2.0062	2.0000
-1.5838	3.0000
-0.6054	3.0000
-0.6697	2.0000
-1.5857	3.0000
